,image_name,Good,Usable,Reject
0,10_left,0.043784827,0.8895888,0.09871865
1,10_right,0.028570794,0.13502857,0.8482237
2,13_left,0.98759115,0.009964821,0.00826642
3,13_right,0.98759055,0.009964351,0.008266874
4,15_left,0.6074524,0.3611833,0.020760639
5,15_right,0.98085195,0.015464621,0.0094331745
6,16_left,0.04408184,0.9494273,0.050784424
7,16_right,0.9702709,0.025555113,0.006824404
8,17_left,0.98759127,0.009964849,0.008266386
9,17_right,0.98759115,0.009964773,0.008266464
10,19_left,0.04796086,0.9349248,0.057065032
11,19_right,0.3074929,0.5942053,0.047205213
12,20_left,0.9875873,0.009968556,0.008266104
13,20_right,0.98759127,0.009964858,0.008266389
14,21_left,0.02542065,0.04448191,0.94810617
15,21_right,0.1271259,0.88155365,0.03561207
16,22_left,0.96849847,0.02639391,0.0099020135
17,22_right,0.9767602,0.02154367,0.006091811
18,23_left,0.91039234,0.075515166,0.013407141
19,23_right,0.026999727,0.73053074,0.32651612
20,25_left,0.053567227,0.7662697,0.15099557
21,25_right,0.06383467,0.171186,0.74521345
22,30_left,0.98759127,0.009964858,0.008266381
23,30_right,0.98178977,0.017221645,0.0056758253
24,31_left,0.7855058,0.18152101,0.024029586
25,31_right,0.9836633,0.012674792,0.009529202
26,33_left,0.98758847,0.009967149,0.008266761
27,33_right,0.9873262,0.010123165,0.008375997
28,36_left,0.06263058,0.9131649,0.05996523
29,36_right,0.026096158,0.0690416,0.9231129
30,40_left,0.98759127,0.0099648535,0.008266386
31,40_right,0.9875152,0.010040456,0.008240434
32,41_left,0.98158413,0.014757233,0.009805288
33,41_right,0.0501609,0.94113505,0.050669752
34,42_left,0.04376369,0.9500515,0.050528444
35,42_right,0.043427866,0.95041317,0.050704654
36,46_left,0.98759127,0.00996484,0.008266397
37,46_right,0.98759127,0.0099648535,0.008266386
38,47_left,0.98743224,0.010057837,0.008317985
39,47_right,0.04692817,0.8800045,0.10070666
40,49_left,0.04878672,0.9157027,0.07708786
41,49_right,0.033401955,0.5949163,0.42469132
42,51_left,0.104198076,0.77196014,0.111766
43,51_right,0.04514992,0.9159991,0.07755585
44,52_left,0.043155514,0.9344547,0.060961
45,52_right,0.04428431,0.94745463,0.05189086
46,54_left,0.024707086,0.039055422,0.9542065
47,54_right,0.024716228,0.039130017,0.95414543
48,56_left,0.98729473,0.010204064,0.008346065
49,56_right,0.045225505,0.9436277,0.054493163
50,57_left,0.8895612,0.01479932,0.09511539
51,57_right,0.98154014,0.015391472,0.008366394
52,58_left,0.987591,0.009964736,0.008266589
53,58_right,0.9875909,0.009964679,0.008266581
54,59_left,0.36541167,0.6019044,0.018856749
55,59_right,0.98594254,0.011286925,0.008588932
56,60_left,0.37603366,0.6071712,0.015342187
57,60_right,0.13283533,0.8526653,0.032868255
58,62_left,0.9360564,0.052324705,0.014536932
59,62_right,0.24882667,0.7234188,0.028595764
60,64_left,0.98758847,0.009964891,0.008267828
61,64_right,0.986748,0.010686697,0.008352243
62,65_left,0.043549236,0.94986624,0.05105235
63,65_right,0.044023857,0.9481202,0.05200394
64,66_left,0.9863886,0.010443716,0.008934348
65,66_right,0.9875201,0.010010726,0.0082711205
66,67_left,0.025943773,0.048858177,0.9427199
